Timestamp,Hour,Month,DayOfWeek,IsWeekend,Temperature,EnergyConsumption
2025-01-01 00:00:00,0,1,2,0,11.0,98.62
2025-01-01 01:00:00,1,1,2,0,11.5,115.23
2025-01-01 02:00:00,2,1,2,0,10.2,97.66
2025-01-01 03:00:00,3,1,2,0,14.6,107.67
2025-01-01 04:00:00,4,1,2,0,11.6,105.43
2025-01-01 05:00:00,5,1,2,0,12.8,95.34
2025-01-01 06:00:00,6,1,2,0,15.5,80.87
2025-01-01 07:00:00,7,1,2,0,12.8,94.38
2025-01-01 08:00:00,8,1,2,0,15.5,103.14
2025-01-01 09:00:00,9,1,2,0,16.7,235.88
2025-01-01 10:00:00,10,1,2,0,22.3,247.74
2025-01-01 11:00:00,11,1,2,0,20.0,235.75
2025-01-01 12:00:00,12,1,2,0,18.9,251.11
2025-01-01 13:00:00,13,1,2,0,17.5,253.76
2025-01-01 14:00:00,14,1,2,0,18.1,247.08
2025-01-01 15:00:00,15,1,2,0,17.3,268.52
2025-01-01 16:00:00,16,1,2,0,17.5,239.42
2025-01-01 17:00:00,17,1,2,0,17.9,237.79
2025-01-01 18:00:00,18,1,2,0,15.4,160.4
2025-01-01 19:00:00,19,1,2,0,11.0,181.97
2025-01-01 20:00:00,20,1,2,0,14.0,181.71
2025-01-01 21:00:00,21,1,2,0,11.2,176.99
2025-01-01 22:00:00,22,1,2,0,7.7,172.8
2025-01-01 23:00:00,23,1,2,0,9.2,110.57
2025-01-02 00:00:00,0,1,3,0,10.7,82.37
2025-01-02 01:00:00,1,1,3,0,10.8,96.15
2025-01-02 02:00:00,2,1,3,0,9.3,106.12
2025-01-02 03:00:00,3,1,3,0,13.5,109.31
2025-01-02 04:00:00,4,1,3,0,10.8,96.91
2025-01-02 05:00:00,5,1,3,0,14.4,109.76
2025-01-02 06:00:00,6,1,3,0,14.0,98.14
2025-01-02 07:00:00,7,1,3,0,14.1,88.04
2025-01-02 08:00:00,8,1,3,0,19.1,113.56
2025-01-02 09:00:00,9,1,3,0,18.4,260.04
2025-01-02 10:00:00,10,1,3,0,20.1,243.55
2025-01-02 11:00:00,11,1,3,0,20.6,265.38
2025-01-02 12:00:00,12,1,3,0,19.9,265.65
2025-01-02 13:00:00,13,1,3,0,14.6,258.22
2025-01-02 14:00:00,14,1,3,0,19.5,247.01
2025-01-02 15:00:00,15,1,3,0,18.7,230.12
2025-01-02 16:00:00,16,1,3,0,17.1,253.57
2025-01-02 17:00:00,17,1,3,0,19.2,244.82
2025-01-02 18:00:00,18,1,3,0,13.4,174.98
2025-01-02 19:00:00,19,1,3,0,15.5,183.29
2025-01-02 20:00:00,20,1,3,0,11.4,185.13
2025-01-02 21:00:00,21,1,3,0,11.7,189.69
2025-01-02 22:00:00,22,1,3,0,9.3,176.72
2025-01-02 23:00:00,23,1,3,0,9.4,85.36
2025-01-03 00:00:00,0,1,4,0,10.6,102.61
2025-01-03 01:00:00,1,1,4,0,10.2,97.65
2025-01-03 02:00:00,2,1,4,0,7.8,95.79
2025-01-03 03:00:00,3,1,4,0,10.8,91.98
2025-01-03 04:00:00,4,1,4,0,12.2,104.04
2025-01-03 05:00:00,5,1,4,0,17.5,101.75
2025-01-03 06:00:00,6,1,4,0,15.5,99.26
2025-01-03 07:00:00,7,1,4,0,12.5,99.73
2025-01-03 08:00:00,8,1,4,0,17.6,124.63
2025-01-03 09:00:00,9,1,4,0,18.2,253.02
2025-01-03 10:00:00,10,1,4,0,19.3,238.31
2025-01-03 11:00:00,11,1,4,0,22.1,257.52
2025-01-03 12:00:00,12,1,4,0,21.6,240.91
2025-01-03 13:00:00,13,1,4,0,22.6,235.98
2025-01-03 14:00:00,14,1,4,0,20.5,271.9
2025-01-03 15:00:00,15,1,4,0,16.6,244.34
2025-01-03 16:00:00,16,1,4,0,17.7,244.97
2025-01-03 17:00:00,17,1,4,0,13.2,250.69
2025-01-03 18:00:00,18,1,4,0,12.9,184.74
2025-01-03 19:00:00,19,1,4,0,11.9,195.5
2025-01-03 20:00:00,20,1,4,0,10.9,176.78
2025-01-03 21:00:00,21,1,4,0,13.1,167.69
2025-01-03 22:00:00,22,1,4,0,11.1,193.07
2025-01-03 23:00:00,23,1,4,0,7.0,101.85
2025-01-04 00:00:00,0,1,5,1,10.5,77.82
2025-01-04 01:00:00,1,1,5,1,7.7,56.8
2025-01-04 02:00:00,2,1,5,1,11.7,72.97
2025-01-04 03:00:00,3,1,5,1,12.0,73.46
2025-01-04 04:00:00,4,1,5,1,11.1,72.32
2025-01-04 05:00:00,5,1,5,1,14.3,62.86
2025-01-04 06:00:00,6,1,5,1,18.7,74.74
2025-01-04 07:00:00,7,1,5,1,13.9,76.57
2025-01-04 08:00:00,8,1,5,1,15.6,77.87
2025-01-04 09:00:00,9,1,5,1,20.9,61.79
2025-01-04 10:00:00,10,1,5,1,21.3,74.13
2025-01-04 11:00:00,11,1,5,1,21.5,88.97
2025-01-04 12:00:00,12,1,5,1,19.5,62.46
2025-01-04 13:00:00,13,1,5,1,18.1,61.84
2025-01-04 14:00:00,14,1,5,1,19.2,73.41
2025-01-04 15:00:00,15,1,5,1,19.1,78.27
2025-01-04 16:00:00,16,1,5,1,17.5,84.54
2025-01-04 17:00:00,17,1,5,1,15.8,97.2
2025-01-04 18:00:00,18,1,5,1,16.3,117.43
2025-01-04 19:00:00,19,1,5,1,11.6,130.82
2025-01-04 20:00:00,20,1,5,1,12.1,133.14
2025-01-04 21:00:00,21,1,5,1,12.4,125.27
2025-01-04 22:00:00,22,1,5,1,9.0,110.85
2025-01-04 23:00:00,23,1,5,1,9.3,78.56
2025-01-05 00:00:00,0,1,6,1,10.4,57.54
2025-01-05 01:00:00,1,1,6,1,10.5,73.85
2025-01-05 02:00:00,2,1,6,1,8.9,71.54
2025-01-05 03:00:00,3,1,6,1,11.6,58.57
2025-01-05 04:00:00,4,1,6,1,13.2,75.61
2025-01-05 05:00:00,5,1,6,1,15.9,80.54
2025-01-05 06:00:00,6,1,6,1,12.2,60.62
2025-01-05 07:00:00,7,1,6,1,17.3,75.14
2025-01-05 08:00:00,8,1,6,1,18.5,108.53
2025-01-05 09:00:00,9,1,6,1,19.7,81.36
2025-01-05 10:00:00,10,1,6,1,21.2,76.51
2025-01-05 11:00:00,11,1,6,1,19.2,77.59
2025-01-05 12:00:00,12,1,6,1,18.5,67.63
2025-01-05 13:00:00,13,1,6,1,18.9,70.82
2025-01-05 14:00:00,14,1,6,1,24.0,51.33
2025-01-05 15:00:00,15,1,6,1,19.9,53.87
2025-01-05 16:00:00,16,1,6,1,16.6,80.89
2025-01-05 17:00:00,17,1,6,1,16.4,59.22
2025-01-05 18:00:00,18,1,6,1,13.6,132.8
2025-01-05 19:00:00,19,1,6,1,12.2,128.16
2025-01-05 20:00:00,20,1,6,1,12.6,119.48
2025-01-05 21:00:00,21,1,6,1,15.8,132.34
2025-01-05 22:00:00,22,1,6,1,6.6,127.86
2025-01-05 23:00:00,23,1,6,1,8.8,78.52
2025-01-06 00:00:00,0,1,0,0,8.4,98.85
2025-01-06 01:00:00,1,1,0,0,11.2,108.66
2025-01-06 02:00:00,2,1,0,0,8.3,96.65
2025-01-06 03:00:00,3,1,0,0,10.5,93.47
2025-01-06 04:00:00,4,1,0,0,16.0,104.05
2025-01-06 05:00:00,5,1,0,0,11.2,109.18
2025-01-06 06:00:00,6,1,0,0,19.2,110.32
2025-01-06 07:00:00,7,1,0,0,13.3,95.16
2025-01-06 08:00:00,8,1,0,0,20.0,92.92
2025-01-06 09:00:00,9,1,0,0,19.4,257.75
2025-01-06 10:00:00,10,1,0,0,17.5,249.4
2025-01-06 11:00:00,11,1,0,0,13.3,239.76
2025-01-06 12:00:00,12,1,0,0,19.5,237.52
2025-01-06 13:00:00,13,1,0,0,23.1,235.7
2025-01-06 14:00:00,14,1,0,0,18.5,251.31
2025-01-06 15:00:00,15,1,0,0,21.4,235.64
2025-01-06 16:00:00,16,1,0,0,19.8,250.1
2025-01-06 17:00:00,17,1,0,0,14.3,254.62
2025-01-06 18:00:00,18,1,0,0,15.4,174.0
2025-01-06 19:00:00,19,1,0,0,13.8,176.15
2025-01-06 20:00:00,20,1,0,0,12.7,186.62
2025-01-06 21:00:00,21,1,0,0,14.6,167.62
2025-01-06 22:00:00,22,1,0,0,14.9,160.48
2025-01-06 23:00:00,23,1,0,0,9.9,105.88
2025-01-07 00:00:00,0,1,1,0,10.6,93.77
2025-01-07 01:00:00,1,1,1,0,9.8,95.07
2025-01-07 02:00:00,2,1,1,0,9.5,108.5
2025-01-07 03:00:00,3,1,1,0,12.2,93.07
2025-01-07 04:00:00,4,1,1,0,14.3,103.07
2025-01-07 05:00:00,5,1,1,0,15.3,106.3
2025-01-07 06:00:00,6,1,1,0,13.3,94.4
2025-01-07 07:00:00,7,1,1,0,17.8,106.1
2025-01-07 08:00:00,8,1,1,0,17.5,101.17
2025-01-07 09:00:00,9,1,1,0,21.1,244.08
2025-01-07 10:00:00,10,1,1,0,20.4,247.98
2025-01-07 11:00:00,11,1,1,0,19.4,260.99
2025-01-07 12:00:00,12,1,1,0,21.7,258.14
2025-01-07 13:00:00,13,1,1,0,22.4,250.21
2025-01-07 14:00:00,14,1,1,0,20.7,246.9
2025-01-07 15:00:00,15,1,1,0,19.2,248.7
2025-01-07 16:00:00,16,1,1,0,17.7,255.95
2025-01-07 17:00:00,17,1,1,0,14.7,270.92
2025-01-07 18:00:00,18,1,1,0,13.0,167.86
2025-01-07 19:00:00,19,1,1,0,16.0,187.92
2025-01-07 20:00:00,20,1,1,0,13.7,186.28
2025-01-07 21:00:00,21,1,1,0,11.4,171.03
2025-01-07 22:00:00,22,1,1,0,10.8,173.23
2025-01-07 23:00:00,23,1,1,0,12.1,98.53
2025-01-08 00:00:00,0,1,2,0,8.3,96.79
2025-01-08 01:00:00,1,1,2,0,11.0,94.36
2025-01-08 02:00:00,2,1,2,0,9.0,102.44
2025-01-08 03:00:00,3,1,2,0,12.0,94.93
2025-01-08 04:00:00,4,1,2,0,11.6,102.32
2025-01-08 05:00:00,5,1,2,0,10.8,85.93
2025-01-08 06:00:00,6,1,2,0,13.6,97.87
2025-01-08 07:00:00,7,1,2,0,16.9,114.75
2025-01-08 08:00:00,8,1,2,0,19.2,98.4
2025-01-08 09:00:00,9,1,2,0,18.5,239.97
2025-01-08 10:00:00,10,1,2,0,19.3,247.11
2025-01-08 11:00:00,11,1,2,0,20.5,241.73
2025-01-08 12:00:00,12,1,2,0,21.0,265.33
2025-01-08 13:00:00,13,1,2,0,19.6,254.02
2025-01-08 14:00:00,14,1,2,0,20.7,245.99
2025-01-08 15:00:00,15,1,2,0,19.0,250.13
2025-01-08 16:00:00,16,1,2,0,17.7,242.27
2025-01-08 17:00:00,17,1,2,0,16.3,254.98
2025-01-08 18:00:00,18,1,2,0,17.9,189.59
2025-01-08 19:00:00,19,1,2,0,18.0,172.33
2025-01-08 20:00:00,20,1,2,0,14.2,181.83
2025-01-08 21:00:00,21,1,2,0,15.8,171.92
2025-01-08 22:00:00,22,1,2,0,9.0,174.01
2025-01-08 23:00:00,23,1,2,0,5.9,94.74
2025-01-09 00:00:00,0,1,3,0,8.5,101.5
2025-01-09 01:00:00,1,1,3,0,10.9,118.76
2025-01-09 02:00:00,2,1,3,0,12.6,94.23
2025-01-09 03:00:00,3,1,3,0,9.7,104.92
2025-01-09 04:00:00,4,1,3,0,9.9,118.31
2025-01-09 05:00:00,5,1,3,0,16.1,95.31
2025-01-09 06:00:00,6,1,3,0,11.6,113.54
2025-01-09 07:00:00,7,1,3,0,16.1,112.38
2025-01-09 08:00:00,8,1,3,0,14.3,94.01
2025-01-09 09:00:00,9,1,3,0,18.5,250.47
2025-01-09 10:00:00,10,1,3,0,18.4,256.23
2025-01-09 11:00:00,11,1,3,0,17.7,248.58
2025-01-09 12:00:00,12,1,3,0,20.2,255.14
2025-01-09 13:00:00,13,1,3,0,21.3,238.75
2025-01-09 14:00:00,14,1,3,0,16.3,262.78
2025-01-09 15:00:00,15,1,3,0,19.2,242.52
2025-01-09 16:00:00,16,1,3,0,20.6,251.16
2025-01-09 17:00:00,17,1,3,0,18.7,250.68
2025-01-09 18:00:00,18,1,3,0,19.1,197.55
2025-01-09 19:00:00,19,1,3,0,13.2,189.72
2025-01-09 20:00:00,20,1,3,0,13.8,193.69
2025-01-09 21:00:00,21,1,3,0,9.5,186.86
2025-01-09 22:00:00,22,1,3,0,12.8,162.41
2025-01-09 23:00:00,23,1,3,0,7.8,79.61
2025-01-10 00:00:00,0,1,4,0,9.5,107.18
2025-01-10 01:00:00,1,1,4,0,13.2,100.74
2025-01-10 02:00:00,2,1,4,0,13.9,86.2
2025-01-10 03:00:00,3,1,4,0,8.1,99.44
2025-01-10 04:00:00,4,1,4,0,13.3,99.67
2025-01-10 05:00:00,5,1,4,0,9.6,99.11
2025-01-10 06:00:00,6,1,4,0,12.4,106.7
2025-01-10 07:00:00,7,1,4,0,17.0,90.6
2025-01-10 08:00:00,8,1,4,0,16.5,89.41
2025-01-10 09:00:00,9,1,4,0,18.4,259.55
2025-01-10 10:00:00,10,1,4,0,17.4,255.04
2025-01-10 11:00:00,11,1,4,0,18.8,242.07
2025-01-10 12:00:00,12,1,4,0,19.8,239.65
2025-01-10 13:00:00,13,1,4,0,18.7,238.02
2025-01-10 14:00:00,14,1,4,0,23.3,250.35
2025-01-10 15:00:00,15,1,4,0,17.1,252.14
2025-01-10 16:00:00,16,1,4,0,17.3,247.79
2025-01-10 17:00:00,17,1,4,0,17.5,257.58
2025-01-10 18:00:00,18,1,4,0,13.9,174.24
2025-01-10 19:00:00,19,1,4,0,13.2,156.98
2025-01-10 20:00:00,20,1,4,0,9.5,193.67
2025-01-10 21:00:00,21,1,4,0,14.8,177.51
2025-01-10 22:00:00,22,1,4,0,11.8,183.11
2025-01-10 23:00:00,23,1,4,0,16.3,111.2
2025-01-11 00:00:00,0,1,5,1,9.7,60.44
2025-01-11 01:00:00,1,1,5,1,7.0,72.03
2025-01-11 02:00:00,2,1,5,1,9.2,55.78
2025-01-11 03:00:00,3,1,5,1,10.2,59.18
2025-01-11 04:00:00,4,1,5,1,15.9,78.82
2025-01-11 05:00:00,5,1,5,1,13.7,84.8
2025-01-11 06:00:00,6,1,5,1,15.2,61.39
2025-01-11 07:00:00,7,1,5,1,19.3,75.39
2025-01-11 08:00:00,8,1,5,1,15.4,68.1
2025-01-11 09:00:00,9,1,5,1,16.8,56.17
2025-01-11 10:00:00,10,1,5,1,21.2,89.09
2025-01-11 11:00:00,11,1,5,1,17.0,75.63
2025-01-11 12:00:00,12,1,5,1,18.7,65.13
2025-01-11 13:00:00,13,1,5,1,18.6,61.36
2025-01-11 14:00:00,14,1,5,1,19.4,61.69
2025-01-11 15:00:00,15,1,5,1,19.1,69.5
2025-01-11 16:00:00,16,1,5,1,17.0,60.92
2025-01-11 17:00:00,17,1,5,1,15.1,77.55
2025-01-11 18:00:00,18,1,5,1,16.0,116.22
2025-01-11 19:00:00,19,1,5,1,13.9,133.51
